-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Latitude  9.598   Longitude 8.1167 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 648.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS50M_RANGE           MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,6.19,2.87,0.0,40.25,6.65,-256.18,93.9,11.12,7.41
2020,1,2,5.8,4.13,0.0,40.44,6.16,-255.52,94.01,9.9,7.32
2020,1,3,5.94,4.08,0.0,37.88,5.92,-254.71,94.04,6.77,5.17
2020,1,4,5.27,3.87,0.0,41.94,6.9,-255.52,94.01,8.31,6.0
2020,1,5,5.25,3.01,0.0,45.94,8.06,-257.17,93.92,7.98,5.84
2020,1,6,5.15,1.97,0.0,48.62,9.34,-258.81,93.87,7.77,4.28
2020,1,7,5.49,2.48,0.0,46.0,8.85,-257.79,93.84,6.69,4.34
2020,1,8,6.16,3.33,0.0,39.69,7.51,-256.72,93.95,4.87,3.88
2020,1,9,6.2,3.85,0.0,36.12,6.71,-255.77,93.96,4.6,3.95
2020,1,10,6.07,3.04,0.0,40.06,7.69,-256.38,93.99,6.43,4.02
2020,1,11,6.05,1.74,0.0,46.0,8.42,-258.22,94.02,3.09,1.9
2020,1,12,5.53,2.05,0.0,40.19,7.63,-256.26,93.95,7.07,4.31
2020,1,13,6.43,1.8,0.0,42.12,8.42,-257.1,93.77,6.46,3.9
2020,1,14,6.29,1.6,0.0,42.06,8.48,-256.35,93.72,4.05,2.63
2020,1,15,6.25,3.09,0.0,34.81,6.41,-256.23,93.8,6.79,4.61
2020,1,16,6.12,3.41,0.0,29.94,5.37,-254.28,93.94,10.63,7.59
2020,1,17,6.05,2.57,0.0,32.06,5.98,-253.85,93.99,9.84,6.34
2020,1,18,5.1,2.53,0.0,36.0,6.77,-256.92,94.04,10.52,6.82
2020,1,19,5.18,3.05,0.0,38.0,7.08,-255.67,93.92,9.28,7.22
2020,1,20,5.29,3.03,0.0,38.94,7.45,-256.34,93.84,6.13,4.1
2020,1,21,6.22,2.74,0.0,34.12,6.65,-256.24,93.91,7.31,4.41
2020,1,22,6.38,3.98,0.0,26.12,4.94,-256.05,93.94,5.48,4.31
2020,1,23,5.72,4.43,0.0,22.5,3.85,-254.66,93.96,3.31,4.1
2020,1,24,6.74,5.17,0.0,20.5,3.17,-255.1,94.04,5.09,6.68
2020,1,25,6.47,5.24,0.0,19.62,2.99,-254.15,94.03,4.97,6.9
2020,1,26,6.57,3.59,0.0,21.88,3.66,-252.94,94.03,9.36,6.51
2020,1,27,6.51,2.38,0.0,23.88,4.27,-254.19,93.97,10.74,6.95
2020,1,28,6.5,2.42,0.0,23.56,4.33,-253.43,93.95,8.93,4.63
2020,1,29,4.98,3.17,0.0,18.62,3.54,-253.54,93.91,8.48,4.98
2020,1,30,6.44,3.45,0.0,18.81,3.54,-253.97,94.02,8.04,5.54
2020,1,31,6.22,3.65,0.0,19.25,3.72,-255.04,94.03,7.95,5.29
2020,2,1,6.26,3.12,0.0,21.38,4.09,-254.54,94.0,9.89,6.55
2020,2,2,6.46,2.9,0.0,22.81,4.39,-256.13,93.99,8.84,5.98
2020,2,3,5.92,2.55,0.0,26.5,5.07,-255.24,94.0,7.88,3.92
2020,2,4,5.98,2.26,0.0,27.62,5.31,-256.69,94.05,7.11,3.62
2020,2,5,6.0,2.79,0.0,25.44,4.88,-256.42,93.98,8.46,5.59
2020,2,6,5.77,2.71,0.0,27.0,5.37,-255.99,93.93,8.95,5.54
2020,2,7,6.44,3.22,0.0,25.12,5.55,-255.24,93.92,8.55,5.06
2020,2,8,6.1,4.38,0.0,22.38,4.94,-255.63,93.88,4.75,5.48
2020,2,9,5.66,4.16,0.0,24.5,5.25,-255.42,93.94,3.71,4.26
2020,2,10,5.12,4.77,0.0,25.81,5.55,-257.35,94.06,2.1,4.62
2020,2,11,5.66,5.03,0.0,22.5,4.82,-255.55,93.96,5.77,5.25
2020,2,12,5.41,4.81,0.0,19.69,3.85,-255.85,93.97,8.45,6.31
2020,2,13,5.84,3.02,0.0,22.31,4.76,-255.99,93.9,9.28,6.52
2020,2,14,6.15,2.75,0.0,21.75,4.82,-254.54,93.76,9.94,6.45
2020,2,15,6.88,2.53,0.0,20.69,4.7,-254.72,93.72,9.81,6.01
2020,2,16,6.66,2.64,0.0,19.25,4.39,-253.97,93.76,8.6,5.74
2020,2,17,6.49,2.55,0.0,19.81,4.76,-254.44,93.79,8.61,6.05
2020,2,18,6.05,2.55,0.0,23.19,5.13,-256.88,93.9,5.77,4.23
2020,2,19,5.7,3.02,0.0,23.94,5.31,-258.65,93.8,7.59,5.39
2020,2,20,6.33,3.44,0.0,24.88,5.92,-255.37,93.67,6.19,4.91
2020,2,21,5.72,4.3,0.0,25.5,6.35,-255.21,93.66,4.38,4.91
2020,2,22,6.68,4.22,0.0,22.81,5.62,-255.41,93.7,4.44,4.32
2020,2,23,6.53,5.01,0.0,17.38,4.27,-255.22,93.81,6.02,4.88
2020,2,24,6.83,5.07,0.0,15.88,3.72,-255.68,93.78,7.73,6.55
2020,2,25,5.73,3.37,0.0,20.94,4.64,-255.81,93.79,9.54,7.64
